Game	AB	R	H	X2B	X3B	HR	RBI	BB	SO
102	4	0	1	1	0	0	1	1	1
103	4	2	3	2	0	0	2	1	0
104	3	1	1	0	0	0	0	1	0
105	5	1	1	0	0	0	0	0	1
106	4	0	1	0	0	0	0	0	1
107	4	0	1	0	0	0	0	0	0
108	5	1	1	0	0	1	1	0	1
109	5	0	1	0	0	0	0	0	0
110	5	1	2	1	0	0	0	0	3
111	5	1	1	1	0	0	0	0	0
112	4	0	1	1	0	0	0	0	1
113	5	0	1	0	0	0	0	0	1
114	4	0	0	0	0	0	0	0	0
115	4	1	0	0	0	0	0	0	2
116	3	0	1	1	0	0	0	1	0
117	4	0	1	0	0	0	0	0	2
118	3	0	0	0	0	0	0	0	0
119	4	0	2	0	0	0	1	0	0
120	4	2	2	0	0	1	1	1	0
121	4	0	1	1	0	0	0	0	0
122	4	1	1	0	0	0	1	1	0
123	4	2	2	0	0	1	1	1	1
124	4	2	1	0	0	0	0	2	1
125	4	0	0	0	0	0	0	1	0
126	2	0	0	0	0	0	0	0	0
127	4	0	3	1	0	0	1	0	0
128	3	2	0	0	0	0	0	2	1
129	4	1	1	0	0	1	1	0	1
130	4	0	0	0	0	0	0	0	0
131	3	3	2	1	0	0	0	2	0
132	3	2	1	0	0	0	1	1	0
133	5	1	3	1	0	0	2	0	0
134	4	1	2	0	0	0	1	0	2
135	5	2	3	2	0	1	2	0	0
136	5	1	1	0	0	1	3	0	1
137	5	2	2	1	0	0	1	0	0
138	3	2	1	0	0	0	0	3	1
139	4	1	2	0	0	0	0	0	0
140	4	1	1	0	0	0	2	0	0
141	4	2	3	2	0	1	1	0	1
142	4	0	0	0	0	0	0	0	1
143	3	3	2	1	0	0	0	2	0
144	5	2	3	0	0	1	1	0	0
145	5	0	1	0	0	0	0	0	0
146	4	0	2	0	0	0	1	0	1
147	3	0	0	0	0	0	0	2	0
148	4	1	3	0	0	1	1	1	0
149	5	0	1	0	0	0	0	0	0
150	4	0	0	0	0	0	0	0	1
151	3	0	0	0	0	0	0	0	0
152	4	2	2	1	0	0	1	0	1
153	5	2	2	1	0	0	0	0	2
154	4	0	1	0	0	0	0	0	1
155	3	0	2	1	0	0	1	0	0
